id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
38738478,Cozy Bedroom near Airport,115469899,Femi,,78725,30.21641,-97.63518,Private room,28,1,6,2019-11-10,6,1,166
38741043,Austintacious Central Eclectic Home,244976228,KrisCina&Rob,,78751,30.30432,-97.72011,Entire home/apt,349,2,1,2019-10-13,0.94,2,358
38743237,Austin Stucco Carriage House,32777712,Lucy,,78751,30.30367,-97.72003,Entire home/apt,85,3,3,2019-11-06,2.37,2,339
38745472,Dog Park + Pool in Hip North Loop Neighborhood,285295166,Ames,,78751,30.31565,-97.7167,Entire home/apt,45,1,7,2019-11-09,4.57,3,334
38746480,Chez Joie,5120358,Peter,,78704,30.25335,-97.77788,Entire home/apt,350,2,2,2019-11-03,2,1,55
38746755,East Side Studio-Super Comfy ❤️2 miles to downtown,296308773,Chloe,,78702,30.2672,-97.71089,Entire home/apt,59,1,14,2019-11-11,8.75,1,167
38750743,The Eclectic Frontier,12357042,Garren,,78745,30.22593,-97.79219,Entire home/apt,349,2,2,2019-11-04,2,2,98
38750984,Austin Riverside at Lady Bird Lake,41943619,Adam,,78741,30.24336,-97.72172,Entire home/apt,79,2,3,2019-10-31,2.37,1,0
38751056,Pretty HOUSE Near Downtown Austin,296334798,Erick,,78754,30.36086,-97.64778,Entire home/apt,350,1,5,2019-11-10,3.26,5,361
38752477,Comfy RV in South Austin,40827531,Mytila,,78745,30.19805,-97.79347,Entire home/apt,60,1,3,2019-11-03,2.25,1,81
38756450,"In the heart of SoLa,  walk to Zilker!",59528138,Elizabeth,,78704,30.25869,-97.7603,Entire home/apt,220,2,2,2019-10-14,1.58,1,0
38756902,Family room- 1 King Bed & 1 Twin Bed- Private Bath,252783373,Hardin,,78705,30.28629,-97.74461,Private room,182,1,0,,,8,16
38758402,"Amazing Location, Beautifully Decorated, Unique :)",10429812,Michelle,,78702,30.26162,-97.7249,Entire home/apt,115,1,6,2019-11-03,6,1,152
38759559,Private BR | Self Check-In | 7 mins to Domain,270631468,L’amour,,78759,30.41594,-97.74136,Private room,45,1,0,,,3,33
38759978,Private Master BR |Self Check-In | 7mins to Domain,270631468,L’amour,,78759,30.41556,-97.74139,Private room,49,1,0,,,3,30
38771288,Budget Friendly on E. 6th St - BEST LOCATION!,11349,Andi,,78702,30.26496,-97.7299,Entire home/apt,78,2,1,2019-11-03,1,1,60
38773946,Cozy East Austin Bungalow,173086933,Bridget,,78722,30.28841,-97.7115,Entire home/apt,225,1,3,2019-11-03,2.31,1,0
38774645,ERICKSON PLACE,296334798,Erick,,78754,30.36127,-97.64777,Private room,65,1,6,2019-10-31,3.53,5,190
38776571,Modern Luxury Retreat at The BlueBerry - Unit B,295496244,Property Bliss,,78723,30.29568,-97.68441,Entire home/apt,75,1,6,2019-11-10,6,2,70
